collector_location,collector_id,device_id,latitude,longitude,snapshot_datetime,Year,Month,Day,Hour,DayPeriod,Season,road,state,city
-MsedTIhiNg0aotIbhA5,51,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:30:22.189179,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsedUR4K5AricB60-th,51,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:30:26.820414,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsedViIqUFq-f1EsZEH,51,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:30:32.083185,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsedWmEtMX0ehBDXWBA,51,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:30:36.430945,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsedY-_i33REKt9Q_-3,51,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:30:41.444955,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsedZCTsoddNoe9NS7C,51,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:30:46.366440,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-Msed_QrLVLQSRQ0rnDd,51,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:30:51.383709,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsedahBkhaigno7AEQh,51,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:30:56.588609,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-Msedbx0hLjlXNlDRk8W,51,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:31:01.697443,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-Msedd5QzXz4KnSaXP2N,51,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:31:06.395455,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsedeJs5G5TrxfZxAMp,51,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:31:11.416032,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsedfXSxOs6QMUCqDJt,51,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:31:16.381261,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsedglMbff7VDqjlikQ,51,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:31:21.431578,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsedhzXNUJ8GqjBC7n9,51,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:31:26.434299,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsedjWw6E716uTwOpEv,51,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:31:32.729272,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsedkTD3uuCclTf6LXp,51,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:31:36.589759,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-Msedledw7QgDErDleZX,51,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:31:41.480654,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsedmtB72xfjhmLJjW9,51,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:31:46.508434,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-Msedo4p1U9rXwsFTMtG,51,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:31:51.413383,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsedpInL7tUu1o0Cx7X,51,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:31:56.402745,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsedqX1eBp1q7V4RHBj,51,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:32:01.409834,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-Msedrkhap6SeyiSN1bb,51,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:32:06.445292,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsedsziuoESnJfvx7uS,51,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:32:11.501624,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsedxVIAdM6gu7DFaR8,51,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:32:29.966569,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-Msedyji-rRXGTFHG58q,51,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:32:35.054620,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-Msedzw-dhzXu-MX33Ez,51,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:32:39.936178,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-Msee0973foGipLK7u9p,51,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:32:44.935590,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MseesrRuM7ysOS1RcCx,51,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:36:33.116122,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MseetIqdTnT4AmSTZIZ,51,b8e1d679ea29c711,27.2040354,31.1748048,2022-01-05 16:36:34.933793,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MseeuXp87zQbQBkF8xl,51,b8e1d679ea29c711,27.2040354,31.1748048,2022-01-05 16:36:39.988983,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MseeyBqv4HEuenrgCsV,51,b8e1d679ea29c711,27.2040349,31.1748049,2022-01-05 16:36:54.966297,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MseezNrrDHbsCUSTbLf,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:36:59.831409,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-Msef-cdI1AXzTh17jA4,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:37:04.937784,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-Msef0qfW1SgGjoxe4vW,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:37:09.931260,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-Msef23jz4QVXsTXlnm9,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:37:14.926847,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-Msef3IM3Psq1Q74_FeX,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:37:19.959220,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-Msef4VVTonHehs2_wIA,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:37:24.895726,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-Msef5ntfvP0JbSRsa0E,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:37:30.233560,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-Msef8UZzn6D6IiEM0oa,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:37:41.220120,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-Msef9Q5xUyb7b6zU3U6,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:37:45.030019,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsefAexMsmygpcmvZ99,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:37:50.141332,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsefBqLrP1EwCuW19YY,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:37:54.962325,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsefDElqu7QS8M6OYKt,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:38:00.689286,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsefEHTnRaQcen11N-7,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:38:04.957922,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsefFVfCkFfpvyDY77O,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:38:09.963168,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsefGi8ZpDfciBihNK7,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:38:14.919936,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsefHzrQZPRuRc79_-r,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:38:20.151503,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsefJ9HRFgj2YIKmpA_,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:38:24.914433,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsefKQHaSk8ZxWPOGuO,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:38:30.098128,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsefLkPOvp3qVkEy9Y0,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:38:35.545715,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsefMpfS7TPNd9f9IIc,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:38:39.979095,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsefRuWXsdq1lzvoBoU,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:39:00.769463,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsefSvcrR1A8MzlZhVh,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:39:04.935725,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsefU9EEzwzMl3N9DGi,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:39:09.966910,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsefVZ1E2acUODVOBEp,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:39:15.714004,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsefWkMPvAfYHT8O5MX,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:39:20.598483,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsefXoLvmnU6puR1Xhu,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:39:24.950103,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsefZDSGDJJGc1ipj6k,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:39:30.717035,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-Msef_FU8T3unn9ZRlCX,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:39:34.942873,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsefaU7wtvSeOwkr25G,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:39:39.975882,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-Msefbh57s3a-xXkfuoM,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:39:44.966210,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-Msefd2rGtZrubJvTJlj,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:39:50.518667,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-Msefe8YbXhI_f5YuO5i,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:39:54.978947,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MseffOBtBOAakk2FMZR,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:40:00.076155,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsefgaE_CkQF4gaM-46,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:40:05.006678,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsefhpJVFxUgciuBYpH,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:40:10.068046,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-Msefj0ihQYa0SDjVMjh,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:40:14.958205,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsefkFB9CpI65bI5iag,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:40:19.980315,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsefljGwC6TLbphepq0,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:40:26.064763,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-Msefmfc3wszOF3eliDM,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:40:29.927944,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsefnxaD8w5PZCz5kux,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:40:35.174453,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-Msefp7xRpikUgzAS5AF,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:40:39.996965,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsefqOQojFmsUkXhVus,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:40:45.147571,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-Msefr_GUphTYxph8vKf,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:40:50.001181,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsefsmURl8o88by7Vbw,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:40:54.943204,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-Msefu6pUIaG1zPeCuZB,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:41:00.404778,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsefvEH4h82eLnb_PxK,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:41:04.978059,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsefwT6EPSiKQCs_ByL,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:41:10.023167,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsefxhOOz9KKHbPvpV8,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:41:15.097294,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-Msefyw1hWuG9MW8yNj9,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:41:20.129634,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-Mseg-OGXY8uk2Q40zut,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:41:26.097518,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-Mseg0OKAQAMLW3kK-2h,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:41:30.197053,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-Mseg1YZX9BlZuzxmpN9,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:41:34.947112,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-Mseg6_jF81K5b5QLI-X,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:41:55.566629,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-Mseg7lWfDrC8OzN7qQD,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:42:00.416676,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-Mseg8sLKqGhY9-2oDhk,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:42:04.950642,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsegD_R4zAuUpKqMIkB,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:42:24.217181,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsegEnhpSCg9X_E2L_f,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:42:29.229269,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsegJrT1gclsCt46PCO,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:42:49.948010,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsegL5eYwDs-55xa03g,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:42:55.017952,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsegMJ4_0yYcVuPh9FG,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:42:59.972777,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsegNVv33_Fnw612QYF,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:43:04.891749,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsegOjQFCgMcwENYCiE,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:43:09.915435,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsegPyi6FXMYMlyR4We,51,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:43:14.989752,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
